playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
davisdi01,1922,1,SLA,AL,25,59,4,8,1,0,0,2,0,0,4,8,,0,6,,
deberha01,1922,1,BRO,NL,85,259,29,78,10,1,3,35,4,1,20,9,,1,9,,
decatar01,1922,1,BRO,NL,29,25,2,2,1,0,0,0,0,0,1,11,,0,1,,
devoral01,1922,1,NYA,AL,24,59,8,12,4,1,0,11,0,0,1,6,,0,4,,
doakbi01,1922,1,SLN,NL,37,54,2,7,0,0,0,2,0,0,1,20,,1,7,,
dodgesa01,1922,1,BOS,AL,3,2,0,0,0,0,0,0,0,0,0,2,,0,0,,
dolanco02,1922,1,NY1,NL,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
donohpe01,1922,1,CIN,NL,33,88,4,16,2,0,0,6,0,0,0,17,,0,5,,
doranbi01,1922,1,CLE,AL,3,2,0,1,0,0,0,0,0,0,1,0,,0,0,,
douglph01,1922,1,NY1,NL,24,58,4,12,0,1,1,5,0,0,0,13,,1,1,,
drakelo01,1922,1,CLE,AL,1,1,0,0,0,0,0,0,0,0,0,1,,0,0,,
duffla01,1922,1,CHA,AL,3,5,2,2,0,0,0,1,0,0,0,1,,0,0,,
duganjo01,1922,1,BOS,AL,84,341,45,98,22,3,3,38,2,3,9,28,,1,10,,
duganjo01,1922,2,NYA,AL,60,252,44,72,9,1,3,25,1,0,13,21,,4,12,,
duncapa01,1922,1,CIN,NL,151,607,94,199,44,12,8,94,12,28,40,31,,1,22,,
durstce01,1922,1,SLA,AL,15,12,5,4,1,0,0,0,0,0,0,1,,0,1,,
dyered01,1922,1,SLN,NL,6,3,1,1,1,0,0,0,0,0,0,0,,0,0,,
dykesji01,1922,1,PHA,AL,145,501,66,138,23,7,12,68,6,2,55,98,,10,15,,
eckerch01,1922,1,PHA,AL,21,11,0,1,0,0,0,1,0,0,0,7,,0,0,,
edmonge01,1922,1,CLE,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
edwarji01,1922,1,CLE,AL,25,23,0,2,0,0,0,0,0,0,0,4,,1,0,,
ehmkeho01,1922,1,DET,AL,45,102,6,16,4,1,0,8,0,0,2,10,,0,4,,
ellerfr01,1922,1,SLA,AL,91,342,42,84,16,3,1,33,1,1,25,36,,3,20,,
ensje01,1922,1,PIT,NL,47,142,18,42,7,3,0,17,3,0,7,9,,2,8,,
ericker01,1922,1,WS1,AL,30,45,1,6,1,0,0,2,0,0,3,18,,0,1,,
eubanue01,1922,1,CHN,NL,2,1,1,1,1,0,0,0,0,0,0,0,,0,0,,
evansjo01,1922,1,CLE,AL,75,145,35,39,6,2,0,22,11,2,8,4,,0,11,,
eversjo01,1922,1,CHA,AL,1,3,0,0,0,0,0,1,0,0,2,0,,0,0,,
faberre01,1922,1,CHA,AL,43,125,8,25,2,0,0,5,0,0,7,42,,1,10,,
falkbi01,1922,1,CHA,AL,131,483,58,144,27,1,12,79,2,6,27,55,,0,24,,
fergual01,1922,1,BOS,AL,39,65,1,6,0,0,0,6,0,0,2,22,,0,6,,
fewstch01,1922,1,NYA,AL,44,132,20,32,4,1,1,9,2,4,16,23,,0,11,,
fewstch01,1922,2,BOS,AL,23,83,8,24,4,1,0,9,8,3,6,10,,1,3,,
fillida01,1922,1,BSN,NL,25,38,0,6,0,0,0,1,0,0,1,3,,0,1,,
fitzgho01,1922,1,CHN,NL,10,24,3,8,1,0,0,4,1,0,3,2,,0,1,,
flackma01,1922,1,CHN,NL,17,54,7,12,1,0,0,6,2,1,2,4,,0,1,,
flackma01,1922,2,SLN,NL,66,267,46,78,12,1,2,21,3,5,31,11,,1,3,,
flagsir01,1922,1,DET,AL,44,91,21,28,5,3,3,8,0,1,14,16,,2,3,,
fletcar01,1922,1,PHI,NL,110,396,46,111,20,5,7,53,3,2,21,14,,5,9,,
fonsele01,1922,1,CIN,NL,81,291,55,105,20,3,4,45,7,8,14,18,,0,13,,
fordho01,1922,1,BSN,NL,143,515,58,140,23,9,2,60,2,1,30,36,,4,25,,
fosteed02,1922,1,BOS,AL,48,109,11,23,3,0,0,3,1,1,9,10,,1,3,,
fosteed02,1922,2,SLA,AL,37,144,29,44,4,0,0,12,3,1,20,8,,1,5,,
fothebo01,1922,1,DET,AL,42,152,20,49,12,4,0,29,1,5,8,9,,0,3,,
fournja01,1922,1,SLN,NL,128,404,64,119,23,9,10,61,6,8,40,21,,7,11,,
francra01,1922,1,WS1,AL,39,78,2,13,2,0,0,3,0,0,5,15,,0,3,,
freembu02,1922,1,CHN,NL,11,8,1,1,1,0,0,0,0,0,0,2,,0,0,,
freigho01,1922,1,SLN,NL,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
fribebe01,1922,1,CHN,NL,97,296,51,92,8,2,0,23,8,10,37,37,,2,8,,
friscfr01,1922,1,NY1,NL,132,514,101,168,16,13,5,51,31,17,47,13,,3,18,,
fuhrmol01,1922,1,PHA,AL,6,6,1,2,1,0,0,0,0,0,0,0,,0,0,,
fullecu01,1922,1,BOS,AL,31,8,2,2,0,1,0,0,0,0,3,1,,0,0,,
fussefr01,1922,1,CHN,NL,3,6,1,0,0,0,0,0,0,0,1,6,,0,0,,
gagnoch01,1922,1,DET,AL,10,4,2,1,0,0,0,0,0,0,0,2,,0,0,,
gainede01,1922,1,SLN,NL,43,97,19,26,7,4,2,23,0,2,14,6,,0,5,,
gallagi01,1922,1,BSN,NL,7,22,1,1,1,0,0,2,0,0,1,7,,0,0,,
galloch01,1922,1,PHA,AL,155,571,83,185,26,9,6,69,10,19,39,39,,1,18,,
gardnla01,1922,1,CLE,AL,137,470,74,134,31,3,2,68,9,8,49,21,,2,17,,
gastoal01,1922,1,NY1,NL,16,26,1,5,0,0,0,1,1,0,0,3,,0,0,,
genewjo01,1922,1,BSN,NL,6,6,1,1,0,0,0,1,0,0,0,2,,0,0,,
gerbewa01,1922,1,SLA,AL,153,604,81,161,22,8,1,51,6,4,52,34,,1,32,,
gharrpa01,1922,1,WS1,AL,96,273,40,70,16,6,5,45,3,3,36,30,,4,9,,
gibsofr01,1922,1,BSN,NL,66,164,15,49,7,2,3,20,4,1,10,27,,0,5,,
gilledu01,1922,1,CIN,NL,31,15,2,2,1,0,0,0,0,0,0,4,,0,1,,
glaznwh01,1922,1,PIT,NL,34,65,5,16,4,1,1,12,0,0,1,15,,0,5,,
gleasjo01,1922,1,WS1,AL,8,14,2,2,0,0,0,0,0,0,2,6,,0,0,,
goebeed01,1922,1,WS1,AL,37,59,13,16,1,0,1,3,1,1,8,16,,0,0,,
golviwa01,1922,1,CHN,NL,2,2,0,0,0,0,0,1,0,0,0,0,,0,0,,
goochjo01,1922,1,PIT,NL,105,353,45,116,15,3,1,42,1,1,39,15,,5,4,,
goodwma01,1922,1,SLN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gordira01,1922,1,BRO,NL,5,2,0,0,0,0,0,0,0,0,0,1,,0,0,,
gosligo01,1922,1,WS1,AL,101,358,44,116,19,7,3,53,4,4,25,26,,3,8,,
